epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,1373.14,0.07892,0.53129,0.87917,0.90078,0.98809,0.995,0.995,0.06729,0.62107,0.42428,0.000438703,0.000438703,0.000438703
30,1421.11,0.07659,0.52882,0.8771,0.89216,1,0.96722,0.96722,0.05624,0.66048,0.41017,0.000403335,0.000403335,0.000403335
31,1469.13,0.06105,0.48646,0.85837,0.92703,0.875,0.97487,0.97488,0.09466,0.83854,0.44457,0.000367967,0.000367967,0.000367967
32,1515.19,0.04914,0.45076,0.85487,0.92794,1,0.995,0.995,0.07434,0.6495,0.42431,0.0003326,0.0003326,0.0003326
33,1561.62,0.04301,0.43291,0.85293,0.9444,1,0.995,0.995,0.06572,0.55908,0.41698,0.000297232,0.000297232,0.000297232
34,1608.87,0.04014,0.43162,0.85295,0.95011,1,0.995,0.995,0.0806,0.52491,0.43823,0.000261864,0.000261864,0.000261864
35,1655.79,0.03776,0.42552,0.8511,0.88641,1,0.96722,0.96722,0.05539,0.78897,0.4075,0.000226497,0.000226497,0.000226497
36,1701.35,0.03498,0.41415,0.85225,0.84989,1,0.96722,0.96722,0.04919,0.64069,0.4023,0.000191129,0.000191129,0.000191129
37,1750.14,0.03211,0.39803,0.85147,0.84674,1,0.995,0.995,0.07856,0.62681,0.43685,0.000155761,0.000155761,0.000155761
38,1799.34,0.02875,0.39387,0.84789,0.93926,1,0.995,0.995,0.05813,0.52826,0.41396,0.000120393,0.000120393,0.000120393
39,1846.51,0.02683,0.38076,0.8484,0.90814,1,0.995,0.995,0.06089,0.68332,0.4172,8.50255e-05,8.50255e-05,8.50255e-05
40,1893.77,0.02427,0.37736,0.84848,0.89196,1,0.98111,0.98111,0.05272,0.66629,0.40538,4.96578e-05,4.96578e-05,4.96578e-05
