epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.8429,1.88937,2.56422,2.93443,0.58678,0.90841,0.87866,0.79394,0.65688,1.44385,1.60677,0.000473411,0.000473411,0.000473411
2,101.516,0.50827,1.17241,1.21837,0.75044,0.43914,0.51688,0.46483,0.41269,2.9249,0.90122,0.000926238,0.000926238,0.000926238
3,149.189,0.37296,1.00739,1.05252,0.55689,0.81131,0.79062,0.78965,0.2078,1.46558,0.59013,0.00135549,0.00135549,0.00135549
4,196.597,0.30369,0.91528,0.99305,0.62094,0.79836,0.78515,0.78054,0.27238,1.1403,0.71207,0.0013229,0.0013229,0.0013229
5,243.735,0.24794,0.84146,0.95738,0.84763,0.875,0.92676,0.92676,0.16827,0.68752,0.5312,0.00128753,0.00128753,0.00128753
6,291.154,0.22004,0.78577,0.93851,0.59091,0.875,0.82731,0.82731,0.13409,1.42948,0.49346,0.00125216,0.00125216,0.00125216
7,338.612,0.19765,0.74978,0.92677,0.80964,0.5625,0.64894,0.64894,0.13125,1.3518,0.49049,0.00121679,0.00121679,0.00121679
8,385.705,0.18579,0.72956,0.91514,0.45714,1,0.83745,0.83745,0.12686,1.98788,0.48719,0.00118143,0.00118143,0.00118143
9,432.413,0.17962,0.70516,0.91306,0.71939,0.9375,0.90895,0.90895,0.1431,1.14592,0.48907,0.00114606,0.00114606,0.00114606
10,479.831,0.15749,0.68747,0.90228,0.76281,1,0.95925,0.95925,0.08054,0.70155,0.43714,0.00111069,0.00111069,0.00111069
11,527.183,0.14923,0.67143,0.90142,0.67861,1,0.88714,0.88714,0.11564,0.66476,0.46288,0.00107532,0.00107532,0.00107532
12,574.177,0.14189,0.65826,0.89967,0.7709,0.75,0.84443,0.84443,0.09513,1.18673,0.45023,0.00103995,0.00103995,0.00103995
13,622.005,0.13753,0.63839,0.89716,0.86423,0.93689,0.995,0.995,0.14913,0.61854,0.51189,0.00100459,0.00100459,0.00100459
14,668.732,0.13022,0.63231,0.89491,0.77952,1,0.92015,0.92015,0.1264,0.99135,0.48573,0.000969219,0.000969219,0.000969219
15,716.412,0.12248,0.62137,0.8921,0.83402,1,0.92682,0.92682,0.11682,0.83339,0.47935,0.000933851,0.000933851,0.000933851
16,762.896,0.12067,0.60371,0.88949,0.84848,0.98989,0.95214,0.95214,0.09107,0.98559,0.43927,0.000898484,0.000898484,0.000898484
17,809.663,0.12135,0.59445,0.88502,0.76196,0.9842,0.92441,0.92441,0.10025,1.34452,0.45378,0.000863116,0.000863116,0.000863116
18,855.881,0.11356,0.60437,0.88548,0.83879,1,0.96722,0.96722,0.09856,0.73762,0.45476,0.000827748,0.000827748,0.000827748
19,903.378,0.10919,0.58351,0.88397,0.85669,1,0.995,0.995,0.09851,0.66798,0.45558,0.00079238,0.00079238,0.00079238
20,949.878,0.10356,0.57809,0.88535,0.898,0.99797,0.96722,0.96722,0.10043,0.86087,0.45799,0.000757013,0.000757013,0.000757013
21,995.227,0.10447,0.58469,0.88514,0.90395,1,0.995,0.995,0.09592,0.68919,0.45491,0.000721645,0.000721645,0.000721645
22,1041.74,0.0988,0.56564,0.88259,0.87854,1,0.995,0.995,0.0623,0.68495,0.42202,0.000686277,0.000686277,0.000686277
23,1089.49,0.09616,0.57392,0.88276,0.90155,1,0.995,0.995,0.07605,0.54417,0.43609,0.000650909,0.000650909,0.000650909
24,1136.36,0.0944,0.56133,0.88206,0.88901,1,0.96722,0.96722,0.08485,0.70555,0.44296,0.000615542,0.000615542,0.000615542
25,1183.68,0.08774,0.54837,0.87987,0.89709,1,0.995,0.995,0.06684,0.63801,0.42793,0.000580174,0.000580174,0.000580174
26,1231.8,0.08551,0.541,0.88015,0.96257,0.9375,0.98833,0.98833,0.07272,0.70201,0.42759,0.000544806,0.000544806,0.000544806
27,1278.75,0.08329,0.54424,0.88003,0.88946,1,0.97444,0.97444,0.0613,0.65101,0.42026,0.000509438,0.000509438,0.000509438
28,1324.88,0.08203,0.548,0.88051,0.85179,1,0.96722,0.96722,0.06788,0.66331,0.42949,0.000474071,0.000474071,0.000474071
