epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5068,1.81968,2.56157,2.91401,0.43401,0.75628,0.75736,0.61174,0.58704,1.74632,1.32435,0.000473411,0.000473411,0.000473411
2,63.8785,0.53091,1.28346,1.24512,0.80423,0.4375,0.65634,0.63936,1.19271,1.81665,2.60179,0.000926238,0.000926238,0.000926238
3,94.7063,0.38236,1.0617,1.06371,0.68305,0.5625,0.62799,0.45562,0.49383,2.44946,0.92684,0.00135549,0.00135549,0.00135549
4,124.518,0.32332,0.96742,1.01466,0.60851,0.75,0.66731,0.65165,0.22819,1.22152,0.6828,0.0013229,0.0013229,0.0013229
5,154.644,0.2656,0.88612,0.97127,0.60169,1,0.90844,0.90844,0.18305,1.02164,0.57673,0.00128753,0.00128753,0.00128753
6,184.947,0.23306,0.84214,0.95265,0.62757,0.5625,0.5982,0.5982,0.11256,1.78228,0.5219,0.00125216,0.00125216,0.00125216
7,215.04,0.20914,0.80228,0.93962,0.72382,0.84192,0.86708,0.86708,0.1921,1.05907,0.54494,0.00121679,0.00121679,0.00121679
8,245.024,0.19654,0.77761,0.92667,0.57064,0.9375,0.80003,0.80003,0.11552,1.38423,0.51264,0.00118143,0.00118143,0.00118143
9,275.147,0.17773,0.75815,0.92136,0.62823,0.875,0.85879,0.85879,0.1057,1.00693,0.53497,0.00114606,0.00114606,0.00114606
10,305.321,0.16346,0.73428,0.91594,0.66861,0.99671,0.85211,0.85211,0.12729,1.14589,0.50335,0.00111069,0.00111069,0.00111069
11,335.695,0.15808,0.72014,0.9131,0.75059,0.8125,0.87151,0.87151,0.08839,1.09273,0.48218,0.00107532,0.00107532,0.00107532
12,365.767,0.15007,0.70367,0.90958,0.62435,0.91916,0.87319,0.85804,0.15111,1.06053,0.582,0.00103995,0.00103995,0.00103995
13,395.95,0.14408,0.69072,0.90675,0.4693,0.86711,0.772,0.772,0.1204,1.43023,0.52371,0.00100459,0.00100459,0.00100459
14,426.008,0.13783,0.67733,0.90324,0.80646,0.875,0.92975,0.92975,0.09379,0.94567,0.4769,0.000969219,0.000969219,0.000969219
15,456.514,0.13222,0.66877,0.90094,0.80751,0.99499,0.96071,0.96071,0.08613,0.55801,0.47346,0.000933851,0.000933851,0.000933851
16,486.724,0.1277,0.64433,0.89946,0.97604,1,0.995,0.995,0.09101,0.66477,0.46799,0.000898484,0.000898484,0.000898484
17,517.623,0.12252,0.63979,0.8956,0.75481,0.84651,0.90669,0.90669,0.10785,1.40261,0.48177,0.000863116,0.000863116,0.000863116
18,547.715,0.12287,0.64164,0.89805,0.93548,0.88105,0.97864,0.97864,0.08384,0.86439,0.46688,0.000827748,0.000827748,0.000827748
19,577.838,0.11509,0.62545,0.89379,0.77161,0.9375,0.93293,0.93293,0.08067,0.59627,0.46684,0.00079238,0.00079238,0.00079238
20,607.848,0.11139,0.62193,0.89351,0.81189,0.80243,0.90067,0.90067,0.08517,0.73245,0.46653,0.000757013,0.000757013,0.000757013
21,638.408,0.10931,0.62083,0.89323,0.73764,0.9605,0.95125,0.95125,0.09283,1.00256,0.49062,0.000721645,0.000721645,0.000721645
22,668.764,0.10418,0.60418,0.88997,0.75791,0.97182,0.92441,0.92441,0.07658,1.02942,0.46577,0.000686277,0.000686277,0.000686277
23,699.418,0.09995,0.60915,0.88836,0.82395,0.99029,0.97864,0.97864,0.07584,0.50326,0.45817,0.000650909,0.000650909,0.000650909
24,730.038,0.09948,0.59871,0.8897,0.79643,0.9799,0.94014,0.94014,0.08297,0.89013,0.44939,0.000615542,0.000615542,0.000615542
25,760.378,0.09385,0.58671,0.88793,0.9747,0.8125,0.88887,0.88887,0.08237,0.98495,0.45133,0.000580174,0.000580174,0.000580174
26,790.247,0.0935,0.57685,0.88715,0.75891,0.88458,0.92706,0.92706,0.07322,1.39024,0.45123,0.000544806,0.000544806,0.000544806
27,820.197,0.0912,0.58263,0.88612,0.74304,0.96191,0.90526,0.90526,0.07136,1.42944,0.44914,0.000509438,0.000509438,0.000509438
28,850.643,0.08792,0.58033,0.88497,0.68798,0.8125,0.87359,0.87359,0.06923,1.57065,0.456,0.000474071,0.000474071,0.000474071
29,880.762,0.08574,0.56488,0.88456,0.75006,0.93115,0.93835,0.93835,0.07282,0.97069,0.44643,0.000438703,0.000438703,0.000438703
30,910.706,0.08388,0.55596,0.88281,0.84853,0.8125,0.92537,0.92537,0.07272,1.28896,0.44791,0.000403335,0.000403335,0.000403335
31,941.947,0.06096,0.50882,0.85744,0.61364,1,0.87954,0.87954,0.07258,1.93552,0.446,0.000367967,0.000367967,0.000367967
32,971.971,0.04994,0.48067,0.85526,0.94355,0.90789,0.98167,0.9777,0.07493,0.59344,0.46606,0.0003326,0.0003326,0.0003326
33,1002.49,0.04599,0.4629,0.85385,0.75018,0.93417,0.93371,0.93371,0.07024,1.57569,0.44275,0.000297232,0.000297232,0.000297232
34,1032.16,0.04197,0.45734,0.85361,0.91745,0.82144,0.95333,0.95333,0.06512,1.2015,0.44275,0.000261864,0.000261864,0.000261864
35,1061.86,0.03967,0.45028,0.85079,0.89238,0.875,0.97,0.97,0.0663,1.31654,0.43991,0.000226497,0.000226497,0.000226497
36,1091.74,0.03752,0.43544,0.85191,0.87708,0.96411,0.93717,0.93717,0.05595,1.26127,0.42998,0.000191129,0.000191129,0.000191129
37,1121.62,0.03456,0.42664,0.8519,0.94283,0.97415,0.96722,0.96722,0.05654,1.20289,0.43257,0.000155761,0.000155761,0.000155761
38,1151.86,0.03212,0.42038,0.84839,0.92965,0.99655,0.96722,0.96722,0.05288,0.8142,0.43027,0.000120393,0.000120393,0.000120393
39,1181.8,0.02984,0.41639,0.84808,0.91168,0.98969,0.96722,0.96722,0.06274,1.22503,0.44381,8.50255e-05,8.50255e-05,8.50255e-05
40,1211.83,0.02819,0.40389,0.84951,0.89933,0.9346,0.95925,0.95925,0.05295,1.24973,0.43732,4.96578e-05,4.96578e-05,4.96578e-05
